campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Amistosos 1935 ,"10 de março de 1935, 16:00",Santos,3,2,Corinthians,"Vila Belmiro, Santos, SP."
Amistosos 1935 ,"17 de fevereiro de 1935, 16:00",Corinthians,1,3,River Plate,"Fazendinha, São Paulo, SP."
Amistosos 1935 ,"10 de fevereiro de 1935, 16:00",Corinthians,2,0,Boca Juniors,"Fazendinha, São Paulo, SP."
Amistosos 1935 ,"06 de janeiro de 1935, 16:00",Corinthians,3,0,Jabaquara,"Fazendinha, São Paulo, SP."
Amistosos 1934 ,"30 de dezembro de 1934, 16:00",Portuguesa Santista,1,4,Corinthians,"Estádio Ulrico Mursa, Santos, SP."
Amistosos 1934 ,"23 de dezembro de 1934, 16:00",Palmeiras,0,1,Corinthians,"Palestra Itália, São Paulo, SP."
Torneio Extra 1934 ,"25 de novembro de 1934, 16:00",Portuguesa,0,1,Corinthians,"Estádio da Floresta, São Paulo, SP."
Torneio Extra 1934 ,"28 de outubro de 1934, 16:00",Portuguesa,0,1,Corinthians,"Palestra Itália, São Paulo, SP."
Torneio Extra 1934 ,"21 de outubro de 1934, 16:00",Corinthians,1,0,Santos,"Fazendinha, São Paulo, SP."
Amistosos 1934 ,"07 de outubro de 1934, 16:00",Jaboticabal,1,2,Corinthians,"Doutor Robert Todd Locke, Jaboticabal, SP."
Torneio Extra 1934 ,"30 de setembro de 1934, 16:00",Corinthians,2,0,Palmeiras,"Fazendinha, São Paulo, SP."
Torneio Extra 1934 ,"23 de setembro de 1934, 16:00",São Paulo,1,2,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1934 ,"16 de setembro de 1934, 16:00",Portuguesa,2,1,Corinthians,"Rua Cesário Ramalho, São Paulo, SP."
Paulista 1934 ,"09 de setembro de 1934, 16:00",Corinthians,2,3,Ypiranga,"Fazendinha, São Paulo, SP."
Paulista 1934 ,"12 de agosto de 1934, 16:00",Sírio,0,5,Corinthians,"Ponte Grande, São Paulo, SP."
Paulista 1934 ,"05 de agosto de 1934, 16:00",Palmeiras,3,1,Corinthians,"Palestra Itália, São Paulo, SP."
Paulista 1934 ,"22 de julho de 1934, 16:00",Santos,0,3,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 1934 ,"01 de julho de 1934, 16:00",Corinthians,4,0,Clube Atlético Paulista,"Fazendinha, São Paulo, SP."
Paulista 1934 ,"10 de junho de 1934, 16:00",Clube Atlético Paulista,2,2,Corinthians,"Rua da Mooca, São Paulo, SP."
Paulista 1934 ,"20 de maio de 1934, 16:00",Corinthians,1,0,Portuguesa,"Fazendinha, São Paulo, SP."
Paulista 1934 ,"13 de maio de 1934, 16:00",Corinthians,3,1,Sírio,"Fazendinha, São Paulo, SP."
Paulista 1934 ,"06 de maio de 1934, 16:00",Corinthians,1,2,Palmeiras,"Fazendinha, São Paulo, SP."
Paulista 1934 ,"22 de abril de 1934, 16:00",Corinthians,3,0,Santos,"Fazendinha, São Paulo, SP."
Paulista 1934 ,"15 de abril de 1934, 16:00",São Paulo,1,1,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1934 ,"25 de março de 1934, 16:00",Ypiranga,1,3,Corinthians,"Ponte Grande, São Paulo, SP."
